02-24 17:05:16.086   733  1712 D InputDispatcher: Inject key (27782): action=0, eventTime=140842234000000
02-24 17:05:16.095   733  1450 I InputDispatcher: Delivering key to (2660): action: 0x0 (0)
02-24 17:05:16.098  2274  2274 D InputMethodService: onKeyDown B key
02-24 17:05:16.098  2274  2274 D InputMethodService: handleBack doIt  : false mShowInputRequested : false mWindowVisible : false
02-24 17:05:16.098  2274  2274 D InputMethodService: handleBack return false
02-24 17:05:16.098  2274  2274 D InputMethodService: onKeyDown handleback false
02-24 17:05:16.106  2660  2660 D ViewRootImpl@c29b6ce[LauncherActivity]: ViewPostImeInputStage processKey 0
02-24 17:05:16.109   733  6024 D InputDispatcher: Inject key (27782): action=1, eventTime=140842234000000
02-24 17:05:16.115   733  1450 I InputDispatcher: Delivering key to (2660): action: 0x1 (0)
02-24 17:05:16.121  2274  2274 D InputMethodService: onKeyUp B key
02-24 17:05:16.121  2274  2274 D InputMethodService: onKeyUp not B key
02-24 17:05:16.121  2660  2660 D ViewRootImpl@c29b6ce[LauncherActivity]: ViewPostImeInputStage processKey 1
02-24 17:05:16.386  2660  2660 D Launcher: setHotWordDetection : call requestHotwordDetection true
02-24 17:05:17.123 27799 27814 W InteractionController: runAndwaitForEvents timed out waiting for events
02-24 17:05:17.124   733  2203 D InputDispatcher: Inject key (27782): action=0, eventTime=140843273000000
02-24 17:05:17.124   733  2203 D InputManager-JNI: !@interceptKeyBeforeQueueing(0), action=0, interactive=true
02-24 17:05:17.126   733  2203 D InputManager-JNI: !@handleInterceptActions(0), action=0, wmActions=1
02-24 17:05:17.137   733  2696 D InputDispatcher: Inject key (27782): action=1, eventTime=140843273000000
02-24 17:05:17.137   733  2696 D InputManager-JNI: !@interceptKeyBeforeQueueing(0), action=1, interactive=true
02-24 17:05:17.138   733  2696 D InputManager-JNI: !@handleInterceptActions(0), action=1, wmActions=1
02-24 17:05:17.153  1636  1757 D vol.VolumeDialogControl: onReceive ACTION_CLOSE_SYSTEM_DIALOGS
02-24 17:05:17.153   733   733 D InputMethodManagerService: isImeSwitcherDisabledPackage : false
02-24 17:05:17.154  1636  1636 D vol.SecVolumeDialog: dismissH reason: 2
02-24 17:05:17.154  1636  1636 D vol.SecVolumeDialog: dismissH : false
02-24 17:05:17.154  1636  1636 D PopupUI : PopupUIReceiver.onReceive() action : android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:17.155  1636  1636 D PopupUI.PopupUINotifications: dismissAlertDialogs()
02-24 17:05:17.155  1636  1636 D ToggleSlider: onReceive : android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:17.155  1636  1897 D LocationControllerImpl: onReceive   android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:17.155  1636  1636 D Tile.MobileDataTile: action:android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:17.156   733  1450 D PackageManager: resolving Home intent, isUnlockingOrUnlocked : true
02-24 17:05:17.157  1636  1636 I StatusBarWindowManager: isExpanded:true, false, false, false, false, false
02-24 17:05:17.157  1636  1636 I StatusBarWindowManager: applyHeight:27
02-24 17:05:17.157  1636  1636 I StatusBarWindowManager: isExpanded:true, false, false, false, false, false
02-24 17:05:17.177   733  1450 D PackageManager: resolving Home intent, isUnlockingOrUnlocked : true
02-24 17:05:17.180  2660  2660 V Launcher: Launcher.onPause()
02-24 17:05:17.180  2660  2660 D Launcher: setHotWordDetection : call requestHotwordDetection false
02-24 17:05:17.196  2570  2570 I GsaVoiceInteractionSrv: Handling ACTION_STOP_HOTWORD
02-24 17:05:17.198  2570  3031 E HwDetectorWithState: a: 3
02-24 17:05:17.208  2660  2660 D Launcher: onNewIntent
02-24 17:05:17.208  2660  2660 D InputMethodManager: HSIFW - flag : 0 Pid : 2660
02-24 17:05:17.209   733  6024 V InputMethodManagerService: Client requesting input be hidden, flags : 0
02-24 17:05:17.209   733  6024 V InputMethodManagerService: hideCurrentInputLocked : shouldHideSoftInput is false
02-24 17:05:17.210  2660  2660 V Launcher: Launcher.onResume()
02-24 17:05:17.219  1636  1636 D ToggleSlider: onReceive : android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:17.219  1636  1636 D BrightnessMirror: hideMirror cancelled since it's not visible
02-24 17:05:17.219  1636  1636 D ToggleSlider: onReceive : android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:17.225  2660  2660 D ExternalRequestQueue: Getting and clearing EXTERNAL_REQUEST_LIST: []
02-24 17:05:17.226  2660  2660 D ExternalMethodQueue: Getting and clearing EXTERNAL_METHOD_LIST: null
02-24 17:05:17.226  2660  2660 D Launcher: setHotWordDetection : call requestHotwordDetection true
02-24 17:05:17.226  2660  2660 D Launcher.HomeController: onResume HomeContainer current alpha = 1.0
02-24 17:05:17.226  2660  2660 D AppsCustomAdapter: notifyupdate : com.android.launcher3.Launcher@32a117d
02-24 17:05:17.227  2660  2660 D AppsDragController: needDeferToBind : true , false
02-24 17:05:17.228  2660  2660 D InputMethodManager: HSIFW - flag : 0 Pid : 2660
02-24 17:05:17.229   733  2460 V InputMethodManagerService: Client requesting input be hidden, flags : 0
02-24 17:05:17.229   733  2460 V InputMethodManagerService: hideCurrentInputLocked : shouldHideSoftInput is false
02-24 17:05:17.231  2570  2570 I GsaVoiceInteractionSrv: Handling ACTION_START_HOTWORD
02-24 17:05:17.232  2570  3031 I GsaVoiceInteractionSrv: disregardVoiceMatch: false
02-24 17:05:17.233  2660  2660 D AppsAdapter: notifyupdate start : com.android.launcher3.Launcher@32a117d
02-24 17:05:17.233  2660  2660 D AppsCustomAdapter: no change items
02-24 17:05:17.233  2660  2660 D AppsAdapter: notifyupdate end : com.android.launcher3.Launcher@32a117d
02-24 17:05:17.234  2570  3031 I GsaVoiceInteractionSrv: Cannot start hotword, hotword has been explicitly disabled.
02-24 17:05:18.018  2660  2660 D Launcher: setHotWordDetection : call requestHotwordDetection true
02-24 17:05:19.274  1636  1897 D NetworkController.MobileSignalController(0/-2): onSignalStrengthsChanged signalStrength=SignalStrength: 27 99 -120 -160 -120 -1 -1 99 2147483647 2147483647 2147483647 2147483647 2147483647 0x4 gsm|lte level=4
02-24 17:05:19.274  1636  1897 D NetworkController.MobileSignalController(0/-2): getMobileIconGroup(): 0
02-24 17:05:19.381 27799 27814 I QueryController: Matched selector: UiSelector[TEXT=Apps] <<==>> [android.view.accessibility.AccessibilityNodeInfo@800dbbab; boundsInParent: Rect(0, 0 - 32, 22); boundsInScreen: Rect(668, 951 - 700, 973); packageName: com.sec.android.app.launcher; className: android.widget.TextView; text: Apps; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.sec.android.app.launcher:id/iconview_titleView; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]]
02-24 17:05:19.386 27799 27814 D InteractionController: clickAndSync(684, 962)
02-24 17:05:19.388   733  6025 D InputDispatcher: Inject motion (27782): action=0x0, eventTime=140845536000000, displayId=0
02-24 17:05:19.389   733  1450 I InputDispatcher: Delivering touch to (1636): action: 0x4, toolType: 1
02-24 17:05:19.389   733  1450 I InputDispatcher: Delivering touch to (2660): action: 0x0, toolType: 1
02-24 17:05:19.389   733  1450 I InputDispatcher: Delivering touch to (1636): action: 0x0, toolType: 1
02-24 17:05:19.389  2660  2660 D ViewRootImpl@c29b6ce[LauncherActivity]: ViewPostImeInputStage processPointer 0
02-24 17:05:19.391  2660  2660 I System.out: Rect(0, 0 - 768, 63)
02-24 17:05:19.494   733  2633 D InputDispatcher: Inject motion (27782): action=0x1, eventTime=140845642000000, displayId=0
02-24 17:05:19.495   733  1450 I InputDispatcher: Delivering touch to (2660): action: 0x1, toolType: 1
02-24 17:05:19.495   733  1450 I InputDispatcher: Delivering touch to (1636): action: 0x1, toolType: 1
02-24 17:05:19.498  2660  2660 D ViewRootImpl@c29b6ce[LauncherActivity]: ViewPostImeInputStage processPointer 1
02-24 17:05:19.502  2660  2660 D Launcher: showAppsView:true resetToTop:false
02-24 17:05:19.502  2660  2660 I StageManager: startStage : 1 -> 2
02-24 17:05:19.506 27799 27806 I art     : Ignoring second debugger -- accepting and dropping
02-24 17:05:19.515  2660  2660 D Launcher: setHotWordDetection : call requestHotwordDetection false
02-24 17:05:19.517  2660  2660 D BixbyApi_0.2.7: isBixbySupported:false
02-24 17:05:19.517  2660  2660 D StageManager: start stageTransitionAnim : from com.android.launcher3.home.HomeController@43dae59 to com.android.launcher3.allapps.controller.AppsController@bdfcf68
02-24 17:05:19.518  2660  2660 I BlurUtils: blurByWindowManager with show = true, dest = com.android.internal.policy.PhoneWindow@e5a2c67, amount = 0.3, duration = 444, sBlur=false
02-24 17:05:19.518  2660  2660 D StageManager: dump stage
02-24 17:05:19.518  2660  2660 D StageManager: com.android.launcher3.home.HomeController@43dae59
02-24 17:05:19.518  2660  2660 D StageManager: com.android.launcher3.allapps.controller.AppsController@bdfcf68
02-24 17:05:19.520  2570  2570 I GsaVoiceInteractionSrv: Handling ACTION_STOP_HOTWORD
02-24 17:05:19.522  2570  3031 E HwDetectorWithState: a: 3
02-24 17:05:19.541  2660  2838 D SamsungAnalytics:1.8.33: [QueueManager] queue size over. remove oldest log
02-24 17:05:19.541  2660  2838 D SamsungAnalytics:1.8.33: [DLCBinder] already send register request
02-24 17:05:19.548  2660  2660 D StageManager: stageTransitionAnim start runnable time gap : 31
02-24 17:05:19.581  2660  2660 D HomeContainer: setAlpha : 1.0
02-24 17:05:19.583  2660  2660 D HomeContainer: setAlpha : 1.0
02-24 17:05:19.583  2660  2660 D HomeContainer: setAlpha : 1.0
02-24 17:05:19.602  2660  2660 D HomeContainer: setAlpha : 0.6898638
02-24 17:05:19.606  2660  2660 D AppsDragController: needDeferToBind : true , false
02-24 17:05:19.631  2660  2660 D HomeContainer: setAlpha : 0.13250792
02-24 17:05:19.649  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.664  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.684  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.702  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.716  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.732  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.751  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.764  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.781  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.798  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.814  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.832  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.851  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.864  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.881  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.897  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.906  1636  1897 D NetworkController.MobileSignalController(0/-2): onSignalStrengthsChanged signalStrength=SignalStrength: 27 99 -120 -160 -120 -1 -1 99 2147483647 2147483647 2147483647 2147483647 2147483647 0x4 gsm|lte level=4
02-24 17:05:19.907  1636  1897 D NetworkController.MobileSignalController(0/-2): getMobileIconGroup(): 0
02-24 17:05:19.914  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.930  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.950  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.964  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.981  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:19.998  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:20.018  2660  2660 D HomeContainer: setVisibility : 8
02-24 17:05:20.018  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:20.035  2660  2660 D HomeContainer: setAlpha : 0.0
02-24 17:05:20.035  2660  2660 D StageManager: stageTransitionAnim onAnimationEnd
02-24 17:05:20.036  2660  2660 D StageManager: dump stageview info : mode(2), visible(0) , alpha(1.000000)
02-24 17:05:21.725 27799 27814 I QueryController: Matched selector: UiSelector[RESOURCE_ID=android:id/search_src_text] <<==>> [android.view.accessibility.AccessibilityNodeInfo@8007ed1f; boundsInParent: Rect(0, 0 - 560, 50); boundsInScreen: Rect(58, 34 - 618, 84); packageName: com.sec.android.app.launcher; className: android.widget.EditText; text:   Search tablet; error: null; maxTextLength: 1000; contentDescription: null; viewIdResName: android:id/search_src_text; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SET_TEXT - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]]
